Error: That port is already in use.
[15/Jul/2019 10:20:43] "GET /admin/firetemplate/firewalltemplate/2/change/ HTTP/1.1" 200 6516
[15/Jul/2019 10:20:43] "GET /static/admin/css/forms.css HTTP/1.1" 304 0
[15/Jul/2019 10:20:43] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:20:43] "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
[15/Jul/2019 10:20:43] "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
[15/Jul/2019 10:20:43] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
[15/Jul/2019 10:24:58] "GET /admin/firetemplate/ HTTP/1.1" 200 2740
[15/Jul/2019 10:24:58] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[15/Jul/2019 10:24:58] "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
[15/Jul/2019 10:24:59] "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 10:24:59] "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 10:24:59] "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
[15/Jul/2019 10:25:00] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:25:53] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[15/Jul/2019 10:25:53] "GET /static/admin/css/changelists.css HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/core.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:25:53] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/actions.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/urlify.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/img/search.svg HTTP/1.1" 304 0
[15/Jul/2019 10:25:53] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
[15/Jul/2019 10:25:56] "GET /admin/hosts/host/2/change/ HTTP/1.1" 200 7771
[15/Jul/2019 10:25:56] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:26:08] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[15/Jul/2019 10:26:36] "GET /admin/hosts/host/1/change/ HTTP/1.1" 200 7732
[15/Jul/2019 10:26:36] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:26:41] "GET /admin/hosts/host/ HTTP/1.1" 200 6062
[15/Jul/2019 10:26:42] "GET /admin/hosts/ HTTP/1.1" 200 2191
[15/Jul/2019 10:26:44] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:26:45] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[15/Jul/2019 10:26:45] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:26:53] "GET /admin/firetemplate/firewalltemplate/2/change/ HTTP/1.1" 200 6516
[15/Jul/2019 10:26:53] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:26:54] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[15/Jul/2019 10:30:42] "GET /admin/firetemplate/ HTTP/1.1" 200 2740
[15/Jul/2019 10:30:44] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:30:45] "GET /admin/rules/rulelist/ HTTP/1.1" 200 5722
[15/Jul/2019 10:30:46] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:30:54] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:30:57] "GET /admin/firetemplate/firewalltemplate/ HTTP/1.1" 200 6292
[15/Jul/2019 10:30:57] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:30:59] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:32:18] "GET /admin/auth/group/ HTTP/1.1" 200 3358
[15/Jul/2019 10:32:19] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:32:20] "GET /admin/ HTTP/1.1" 200 8422
[15/Jul/2019 10:32:21] "GET /admin/auth/user/ HTTP/1.1" 200 6485
[15/Jul/2019 10:32:21] "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:21] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:32:21] "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /admin/auth/user/1/change/ HTTP/1.1" 200 14301
[15/Jul/2019 10:32:23] "GET /admin/jsi18n/ HTTP/1.1" 200 7800
[15/Jul/2019 10:32:23] "GET /static/admin/js/SelectBox.js HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/js/calendar.js HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/img/selector-icons.svg HTTP/1.1" 304 0
[15/Jul/2019 10:32:23] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 304 0
